id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,LEAID,zip_code,school_type,school_level,charter,school_code,id_support,Tot_salary_exp,Tot_salary_exp_federal
120003000019,0.0416253716551041,0.654947916666667,0.654781199351702,54225.0,21.6910866910867,0.430313588850174,2016-2017,FL,1200030,32669,Regular School,High,No,2.0,120003000002,3026258.24,3304091.75
120003000020,0.0544682857816553,0.643496357960458,0.6038104543234,46554.0,22.6678876678877,0.364757709251101,2016-2017,FL,1200030,32615,Regular School,High,No,2.0,120003000002,3026258.24,3304091.75
120003000028,0.116580310880829,0.382407066617593,0.450915141430948,33354.0,26.7216117216117,0.488112927191679,2016-2017,FL,1200030,32641,Regular School,High,No,2.0,120003000002,3026258.24,3304091.75
120003000029,0.0298013245033113,0.810068649885583,0.683248730964467,75341.0,23.3516483516484,0.263061411549038,2016-2017,FL,1200030,32606,Regular School,High,No,2.0,120003000002,3026258.24,3304091.75
120006000035,0.094651789149673,0.380206479174083,0.792228390166534,65391.0,17.4908424908425,0.387903225806452,2016-2017,FL,1200060,32040,Regular School,High,No,35.0,120006000035,4742436.43,4924300.49
120009000039,0.209809264305177,0.545277507302824,0.746478873239437,25747.0,22.6190476190476,0.484598046581518,2016-2017,FL,1200090,32401,Regular School,High,No,39.0,120009000039,4208237.01,4510116.28
120009000064,0.108850457782299,0.352538275584206,0.420998980632008,35256.0,20.3724053724054,0.463494667760459,2016-2017,FL,1200090,32401,Regular School,High,No,39.0,120009000039,4208237.01,4510116.28
120009000067,0.0433620433620434,0.521657754010695,0.573690621193666,43151.0,23.1562881562882,0.296099290780142,2016-2017,FL,1200090,32444,Regular School,High,No,39.0,120009000039,4208237.01,4510116.28
120009004305,0.0813953488372093,0.647002551020408,0.396911898274296,48778.0,23.2783882783883,0.35583596214511,2016-2017,FL,1200090,32407,Regular School,High,No,39.0,120009000039,4208237.01,4510116.28
120009007903,0.18,0.67201166180758,0.373123659756969,25392.0,22.7411477411477,0.125230202578269,2016-2017,FL,1200090,32404,Regular School,High,Yes,39.0,120009000039,4208237.01,4510116.28
120012000070,0.130543933054393,0.473026080743123,0.513910355486862,33636.0,17.979242979243,0.414841849148418,2016-2017,FL,1200120,32091,Regular School,High,No,70.0,120012000070,2128779.96,2329919.58
